date,product_type,unit_cost,unit_price,quantity,revenue,total_cost,profit,profit_margin,roi
2025-04-13,定制工艺品,36.27583457478504,111.52389682165202,37,4126.384182401124,1342.2058792670464,2784.178303134078,0.6747259053116031,2.074330284303676
2025-07-22,艺术摆件,43.287150015382224,65.55445588787455,56,3671.049529720975,2424.0804008614045,1246.9691288595704,0.33967646548052666,0.5144091460070616
2025-01-02,艺术摆件,38.24805251124972,83.93719064230221,96,8057.970301661013,3671.813041079973,4386.15726058104,0.5443253196995412,1.1945480915038529
2025-08-24,装饰板,21.35454054689812,28.25916460958908,98,2769.39813173973,2092.744973596016,676.6531581437143,0.24433220720006849,0.3233328316068079
2025-07-07,定制工艺品,31.3864080863532,74.05349323244856,123,9108.579667591173,3860.5281946214436,5248.05147296973,0.576165732144012,1.3594128078850476
2025-05-11,艺术摆件,41.76835413997485,63.0403701267271,69,4349.78553874417,2882.016435658265,1467.7691030859046,0.3374348206393793,0.5092854728119064
2025-03-30,玻璃灯饰,44.45037060804637,85.22054109326962,44,3749.703808103863,1955.8163067540404,1793.8875013498227,0.4784077871625144,0.9172065368076607
2025-07-18,玻璃灯饰,36.04150002455523,81.78799312114367,106,8669.527270841229,3820.3990026028546,4849.1282682383735,0.5593301822289382,1.2692727290878887
2025-02-19,艺术摆件,32.7893143245529,61.73235012252499,65,4012.6027579641245,2131.3054310959383,1881.2973268681862,0.4688471399602737,0.882697195540296
2025-02-17,玻璃灯饰,29.62235836126177,87.4868636327862,82,7173.922817888468,2429.033385623465,4744.889432265003,0.6614079287880584,1.9534064292192188
2025-08-01,定制工艺品,29.519833651606852,77.9960052487875,68,5303.72835691755,2007.348688309266,3296.3796686082837,0.6215212105101272,1.6421559880484604
2025-02-10,艺术摆件,17.857111773142705,32.078176955835495,15,481.17265433753244,267.85667659714056,213.31597774039187,0.44332523017975833,0.7963810364944589
2025-05-09,艺术摆件,21.410475353619997,42.70961924771229,82,3502.188778312408,1755.6589789968398,1746.5297993155682,0.49869664654603935,0.9948001406933322
2025-01-05,装饰板,47.3680705867473,81.71083543987424,78,6373.445164310191,3694.7095057662896,2678.7356585439015,0.4202963373003031,0.7250192888948996
2025-01-12,定制工艺品,20.01205699335261,51.73777089934181,80,4139.021671947345,1600.9645594682088,2538.057112479136,0.6132021800419856,1.5853299796481444
2025-08-07,装饰板,36.24713601799961,62.50662425126597,93,5813.1160553677355,3370.9836496739636,2442.132405693772,0.42010728539278813,0.724456912133042
2025-01-05,艺术摆件,37.289284811921746,69.57856056663944,50,3478.9280283319717,1864.4642405960874,1614.4637877358844,0.4640693266971565,0.8659129805673959
2025-07-24,艺术摆件,31.42625941596723,59.53054009727586,58,3452.7713256419997,1822.7230461260995,1630.0482795159003,0.47209853354907977,0.8942929003834685
2025-05-12,艺术摆件,35.902108620037374,72.84127826083187,39,2840.809852172443,1400.1822361814577,1440.627615990985,0.5071186355149039,1.0288857969801337
2025-03-07,定制工艺品,27.600882896678073,77.8831287860874,47,3660.5070529461077,1297.2414961438694,2363.2655568022383,0.6456115293918632,1.8217622268692386
2025-04-18,定制工艺品,31.699778633112928,109.4717707869627,52,5692.53208092206,1648.3884889218723,4044.1435920001877,0.7104296531860965,2.4533922792953122
2025-08-13,玻璃灯饰,24.435332815150936,54.32176388101075,76,4128.454054956817,1857.0852939514712,2271.368761005346,0.5501741646557101,1.223082627601003
2025-01-03,定制工艺品,20.981314311306278,50.35083343108094,51,2567.892504985128,1070.0470298766202,1497.845475108508,0.5832975765927486,1.3997940588473148
2025-07-26,艺术摆件,21.396595199401006,38.14339615440498,39,1487.5924500217943,834.4672127766393,653.1252372451551,0.4390485023203676,0.7826853197406286
2025-03-03,艺术摆件,46.36195611952548,85.68032356676589,33,2827.4506777032743,1529.944551944341,1297.5061257589334,0.4588961130218165,0.8480739541246698
2025-03-22,玻璃灯饰,33.36199577045309,61.37475848030173,35,2148.1165468105605,1167.6698519658582,980.4466948447023,0.4564215551062307,0.839660879480658
2025-08-12,艺术摆件,33.115960686216546,61.020029886303185,88,5369.7626299946805,2914.204540387056,2455.5580896076244,0.45729360100412053,0.8426169321942942
2025-05-03,艺术摆件,30.835461393984765,67.48020649748706,78,5263.456106803991,2405.1659887308115,2858.2901180731797,0.5430443533818607,1.1883961986263902
2025-08-02,玻璃灯饰,29.958639872278432,65.45771310373435,102,6676.686736580904,3055.7812669724003,3620.9054696085036,0.5423207067316671,1.184936077966083
2025-05-27,艺术摆件,39.563315746211394,62.00851790006516,81,5022.689949905278,3204.628575443123,1818.061374462155,0.3619696602009928,0.5673235857639948
2025-08-21,艺术摆件,38.6780225820272,61.7403606012671,40,2469.6144240506837,1547.120903281088,922.4935207695958,0.3735374687585901,0.5962646609021951
2025-05-31,装饰板,33.09267365852811,45.91533890975524,51,2341.6822843975174,1687.7263565849337,653.9559278125837,0.27926757279151454,0.38747746354796814
2025-04-22,装饰板,31.022498627933324,41.773388459570974,23,960.7879345701324,713.5174684424665,247.27046612766594,0.2573621683106352,0.34655138390294965
2025-04-09,定制工艺品,44.97067448178371,122.6851549216538,89,10918.978788027189,4002.3900288787504,6916.588759148439,0.6334464873887816,1.728114628819942
2025-06-10,艺术摆件,25.361051185111915,53.99337191515025,67,3617.5559183150667,1699.1904294024982,1918.3654889125685,0.5302932510870701,1.1289879319689557
2025-04-03,定制工艺品,24.398935910514947,68.49180128683817,42,2876.655654047203,1024.7553082416277,1851.9003458055752,0.6437685175144663,1.8071634573752453
2025-07-08,艺术摆件,26.76483469385279,46.24374043224286,79,3653.255494147186,2114.4219408143704,1538.8335533328154,0.42122253858186287,0.7277797887114873
2025-05-15,玻璃灯饰,34.186052592629544,82.4081084155493,91,7499.137865814986,3110.9307859292885,4388.207079885698,0.5851615423540155,1.410576892206512
2025-08-02,艺术摆件,27.959199919526945,49.6322883895988,66,3275.731033713521,1845.3071946887783,1430.4238390247426,0.4366731652577555,0.7751684072667325
2025-08-14,定制工艺品,32.71743758867766,116.32690225487447,80,9306.152180389958,2617.395007094213,6688.757173295745,0.7187457333214881,2.5555016171294254
2025-03-02,玻璃灯饰,35.74866410878063,66.21812730419536,59,3906.8695109475266,2109.171182418057,1797.6983285294696,0.4601377966405325,0.8523245261053208
2025-02-15,装饰板,33.91909886374975,59.83869307360824,64,3829.6763567109274,2170.822327279984,1658.8540294309432,0.4331577592775047,0.7641592812938628
2025-02-15,定制工艺品,52.284145410929455,132.27930646215484,86,11376.020355745315,4496.436505339933,6879.583850405382,0.6047443337186835,1.530008005725254
2025-03-08,艺术摆件,30.272914358891,60.158966836520946,51,3068.1073086625684,1543.918632303441,1524.1886763591274,0.49678466983723035,0.9872208576724814
2025-04-14,装饰板,20.32395468031133,30.065701549056115,38,1142.4966588641323,772.3102778518306,370.1863810123017,0.3240152854191628,0.47932339064808194
2025-08-06,玻璃灯饰,42.036217927638404,93.79917032062662,34,3189.171790901305,1429.2314095397057,1759.9403813615993,0.5518487233527847,1.2313893814637062
2025-08-09,定制工艺品,24.085495299242496,74.68248969374481,30,2240.4746908123443,722.5648589772749,1517.9098318350693,0.6774947461177123,2.1007246795582244
2025-01-08,装饰板,44.57824788212895,65.48533818931105,72,4714.944349630396,3209.6338475132843,1505.3105021171114,0.31926368383014164,0.4689975784257681
2025-04-02,艺术摆件,34.45353600388203,59.59451782635047,63,3754.4546230600795,2170.5727682445677,1583.8818548155118,0.42186735860042546,0.7297068672323125
2025-02-18,定制工艺品,25.725226787741004,57.33404248220747,63,3612.0446763790706,1620.6892876276834,1991.3553887513872,0.5513097337288865,1.2287089227733923
2025-08-13,装饰板,40.11091112074319,61.31484558501642,50,3065.742279250821,2005.5455560371595,1060.1967232136615,0.3458205637144238,0.5286325808068644
2025-04-04,定制工艺品,37.17569941351195,139.65176926769345,70,9775.623848738542,2602.2989589458366,7173.324889792705,0.7337971469430423,2.7565337430325614
2025-05-04,玻璃灯饰,28.610718953745078,66.3833020969926,38,2522.5654796857184,1087.207320242313,1435.3581594434054,0.5690072947570162,1.32022488509689
